date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2016-01-28,1.14E+11,53038640000,9483979000,12149878700,6810648000,1.68E+11,24290000000,1110000000,
2016-01-29,1.17E+11,53660500000,9519204000,12561211720,7285889000,1.81E+11,24280000000,1127000000,
2016-01-31,1.17E+11,53660500000,9512448000,12561211720,7285889000,1.81E+11,24280000000,1127000000,
2016-02-01,1.17E+11,54864100000,9729280000,12080747100,7651722000,1.81E+11,24170000000,1117000000,
2016-02-02,1.15E+11,53820980000,9734912000,11935570740,7279051000,1.78E+11,23780000000,1130000000,
2016-02-03,1.15E+11,54272330000,9643392000,12129139220,7125196000,1.81E+11,24520000000,1147000000,
2016-02-04,1.15E+11,54543140000,9581440000,12564668300,7097844000,1.79E+11,25070000000,1113000000,
2016-02-05,1.11E+11,54141940000,9266048000,12581951200,6735430000,1.74E+11,24940000000,1094000000,
2016-02-08,1.10E+11,52557200000,9083008000,12448872870,6612346000,1.65E+11,24540000000,1038000000,
2016-02-09,1.10E+11,52787890000,8960512000,12383197850,6865352000,1.66E+11,24200000000,1027000000,
2016-02-10,1.11E+11,52446870000,9006976000,12282957030,6882447000,1.70E+11,24330000000,1034000000,
2016-02-11,1.08E+11,51263330000,9008384000,12364186660,7005531000,1.66E+11,24320000000,1007000000,
2016-02-12,1.11E+11,52817980000,9285760000,12580222910,7265375000,1.71E+11,24640000000,1036000000,
2016-02-16,1.13E+11,53339540000,9529344000,12920696040,7330336000,1.73E+11,24800000000,1070000000,
2016-02-17,1.16E+11,53770830000,9526528000,13302648130,7344012000,1.75E+11,25610000000,1091000000,
2016-02-18,1.14E+11,54312450000,9433600000,13192037570,7282470000,1.73E+11,25690000000,1169000000,
2016-02-19,1.15E+11,54874130000,9504000000,13143645450,7302984000,1.74E+11,25510000000,1233000000,
2016-02-22,1.14E+11,55796890000,9468800000,13453009360,7655141000,1.78E+11,26030000000,1243000000,
2016-02-23,1.13E+11,55275330000,9322368000,13245614560,7703007000,1.75E+11,25930000000,1257000000,
2016-02-24,1.13E+11,54803920000,9401216000,13257712590,7990203000,1.75E+11,26040000000,1295000000,
2016-02-25,1.12E+11,55556170000,9437824000,13245614560,7932080000,1.78E+11,25260000000,1371000000,
2016-02-26,1.13E+11,55546140000,9030912000,13300919840,7624370000,1.77E+11,25820000000,1344000000,
2016-02-29,1.09E+11,55746740000,8800000000,13535967280,7521800000,1.76E+11,25780000000,1345000000,
2016-03-01,1.14E+11,56970400000,8936576000,13729535760,7624370000,1.81E+11,25810000000,1384000000,
2016-03-02,1.13E+11,57291360000,8954880000,13772743010,7658560000,1.81E+11,25590000000,1351000000,
2016-03-03,1.12E+11,58264270000,8904192000,13814221970,7607275000,1.80E+11,25850000000,1393000000,
2016-03-04,1.12E+11,58464870000,8870400000,14120129300,7514962000,1.80E+11,25980000000,1399000000,
2016-03-07,1.13E+11,59177000000,8780288000,14298143170,7487610000,1.75E+11,26150000000,1395000000,
